place_id,place_name,city,latitude,longitude,category,distance_km,normal_eta_min,actual_eta_min,traffic_level
1,Airport 1,Mumbai,,72.96434,Airport,26.21,46,46,Low
2,Airport 2,Kolkata,22.574528,88.193453,Airport,15.35,23,34,High
3,School 3,Chennai,13.002849,80.403648,School,24.85,48,65,High
4,Warehouse 4,Pune,18.684997,73.797874,Warehouse,24.74,46,46,Low
5,Metro Station 5,Bengaluru,12.807242,77.579993,Metro Station,13.21,24,24,Low
6,Metro Station 6,Bengaluru,13.101814,77.622447,Metro Station,19.77,46,46,Low
7,Airport 7,Mumbai,18.979805,72.734061,Airport,23.48,53,53,Low
8,Metro Station 8,Delhi,28.675163,77.281655,Metro Station,29.36,49,60,High
9,School 9,Mumbai,18.954825,72.834304,School,21.71,36,36,Low
10,School 10,Mumbai,18.916138,72.993549,School,8.47,15,35,High
11,Mall 11,Pune,18.598849,73.753246,Mall,10.1,17,23,Medium
12,Metro Station 12,Hyderabad,17.407093,78.401287,Metro Station,16.6,29,48,High
13,Metro Station 13,Kolkata,22.570266,88.455982,Metro Station,14.58,25,41,High
14,Airport 14,Pune,18.36327,73.814083,Airport,22.33,51,51,Low
15,Office 15,Hyderabad,17.46446,78.552116,Office,34.02,80,82,Medium
16,Warehouse 16,Kolkata,22.449537,88.185068,Warehouse,27.13,50,54,Medium
17,School 17,Mumbai,18.934308,72.922808,School,34.04,77,83,Medium
18,School 18,Pune,18.534576,73.957006,School,21.7,36,46,High
19,Airport 19,Kolkata,22.747316,88.474339,Airport,12.02,18,40,High
20,Airport 20,Chennai,13.077657,80.115617,Airport,30.85,75,75,Low
21,Office 21,Pune,18.43582,73.990776,Office,5.37,11,11,Low
22,Hospital 22,Hyderabad,17.348637,78.548507,Hospital,26.68,58,70,High
23,Metro Station 23,Delhi,28.441472,77.228412,Metro Station,16.35,29,42,High
24,Hospital 24,Kolkata,22.718551,88.493369,Hospital,3.41,7,7,Low
25,Office 25,Bengaluru,13.052007,77.732258,Office,10.47,21,21,Low
26,Metro Station 26,Kolkata,22.427495,88.339078,Metro Station,27.68,64,64,Low
27,Metro Station 27,Hyderabad,17.24043,78.451644,Metro Station,30.37,47,54,Medium
28,Warehouse 28,Delhi,28.585777,77.129276,Warehouse,9.45,16,16,Low
29,Warehouse 29,Chennai,12.920912,80.450442,Warehouse,16.07,38,38,Low
30,Airport 30,Pune,18.515231,230.0,Airport,32.5,76,76,Low
